"","FC","log2(FC)","p.ajusted","-log10(p)"
"84984",9.0367e-05,-13.434,5.4875e-05,4.2606
"114422",108.77,6.7651,5.6064e-05,4.2513
"122064",87.681,6.4542,5.7498e-05,4.2403
"111203",42.362,5.4047,5.7498e-05,4.2403
"103341",28.805,4.8482,5.7498e-05,4.2403
"85306",0.0026655,-8.5514,6.0463e-05,4.2185
"103481",36.688,5.1972,7.9205e-05,4.1012
"111670",82.968,6.3745,8.044e-05,4.0945
"92547",53.693,5.7467,8.4579e-05,4.0727
"117081",140.84,7.1379,0.00010019,3.9992
"106304",33.1,5.0487,0.00010813,3.966
"125036",412.37,8.6878,0.00010847,3.9647
"84967",0.0013725,-9.509,0.00012234,3.9124
"118322",248.63,7.9579,0.00012234,3.9124
"76968",0.071289,-3.8102,0.00012638,3.8983
"119594",174.98,7.451,0.00012901,3.8894
"83319",203.08,7.6659,0.00013319,3.8755
"115538",163.59,7.3539,0.00013319,3.8755
"94320",0.017345,-5.8493,0.00013319,3.8755
"94204",0.11555,-3.1134,0.00013319,3.8755
"89994",63.788,5.9952,0.00013892,3.8572
"114171",304.45,8.2501,0.00015167,3.8191
"121751",122.25,6.9337,0.00015167,3.8191
"76185",0.015285,-6.0318,0.00015167,3.8191
"112911",174.72,7.4489,0.00015424,3.8118
"86239",96.13,6.5869,0.00015424,3.8118
"115826",67.036,6.0669,0.00015483,3.8101
"116209",997.01,9.9615,0.00015948,3.7973
"87019",0.0062592,-7.3198,0.00016238,3.7895
"88772",0.023714,-5.3981,0.00016485,3.7829
"114048",49.225,5.6213,0.00016974,3.7702
"117646",127.47,6.9941,0.0001707,3.7678
"116512",635.77,9.3124,0.00017873,3.7478
"106660",22.869,4.5153,0.00018285,3.7379
"114989",422.99,8.7245,0.00018842,3.7249
"112119",159.16,7.3144,0.00018971,3.7219
"82164",0.0069123,-7.1766,0.00019473,3.7106
"92353",76.236,6.2524,0.0002009,3.697
"119524",264.89,8.0492,0.00021122,3.6753
"89731",0.0056096,-7.4779,0.00021122,3.6753
"88929",0.026734,-5.2252,0.00022917,3.6398
"85122",0.004942,-7.6607,0.00023565,3.6277
"84021",190.07,7.5704,0.0002395,3.6207
"111995",49.808,5.6383,0.00024775,3.606
"87197",80.597,6.3326,0.00026717,3.5732
"80988",0.043137,-4.5349,0.00029488,3.5304
"98917",0.067452,-3.89,0.00030024,3.5225
"90065",0.17673,-2.5004,0.00030024,3.5225
"123202",34.486,5.1079,0.00035981,3.4439
"96461",51.621,5.6899,0.00037408,3.427
"88933",0.015749,-5.9886,0.00037855,3.4219
"91769",35.28,5.1408,0.0003912,3.4076
"104299",193.38,7.5953,0.00042176,3.3749
"113258",83.231,6.3791,0.00042457,3.372
"110259",61.958,5.9532,0.00042697,3.3696
"111075",56.742,5.8263,0.00042697,3.3696
"84976",0.022777,-5.4563,0.00045355,3.3434
"100719",0.12283,-3.0252,0.00045722,3.3399
"119547",317.67,8.3114,0.00046965,3.3282
"76279",0.01285,-6.2821,0.00046974,3.3281
"124284",523.38,9.0317,0.00048327,3.3158
"118079",81.865,6.3552,0.00048327,3.3158
"91111",191.54,7.5815,0.00048828,3.3113
"107461",11.368,3.5069,0.00048828,3.3113
"88850",0.12996,-2.9439,0.0004893,3.3104
"86863",0.013205,-6.2427,0.00051184,3.2909
