Scan,Fold_Change,log2FC
131823,13.114,3.713
111825,13.023,3.703
87139,0.07685,-3.7018
96566,12.792,3.6772
104787,12.779,3.6756
106753,12.51,3.645
102886,0.081808,-3.6116
102453,12.209,3.6099
103906,12.153,3.6032
99708,11.976,3.5821
98937,0.084771,-3.5603
90430,11.735,3.5528
111826,11.566,3.5318
88031,0.08702,-3.5225
114674,11.421,3.5136
107461,11.353,3.505
97568,0.088111,-3.5045
120639,11.336,3.5028
98291,0.089479,-3.4823
94348,0.090481,-3.4662
106817,11.003,3.4598
111822,10.988,3.4579
88402,0.091547,-3.4493
111821,10.907,3.4472
111823,10.742,3.4252
112400,10.719,3.4221
94389,10.389,3.3769
100279,10.351,3.3717
112868,10.307,3.3655
101389,10.238,3.3558
95387,0.097786,-3.3542
81486,0.10009,-3.3207
103169,9.9716,3.3178
100356,9.9676,3.3172
93013,0.10175,-3.2968
98276,9.8179,3.2954
96381,0.10285,-3.2814
89193,0.10427,-3.2617
91041,9.5731,3.259
92116,0.10651,-3.231
122412,9.2758,3.2135
99332,0.10932,-3.1933
95693,9.1231,3.1895
106583,9.1197,3.189
103661,0.10992,-3.1854
88786,8.9709,3.1653
90188,0.11357,-3.1383
94204,0.11566,-3.1121
77258,0.11672,-3.0989
95576,0.11812,-3.0816
100719,0.12286,-3.0249
82366,0.12349,-3.0175
106755,8.0495,3.0089
107833,8.0264,3.0048
113264,7.9943,2.999
100104,0.12544,-2.995
97490,0.12875,-2.9573
111913,7.7172,2.9481
88850,0.12997,-2.9438
92354,7.5174,2.9102
120750,7.5174,2.9102
85677,0.13376,-2.9022
112750,7.4406,2.8954
94209,0.13649,-2.8732
109387,7.1274,2.8334
97124,6.9621,2.7995
100380,0.14926,-2.7441
84960,0.14939,-2.7429
100717,0.14941,-2.7427
100621,0.15183,-2.7195
108554,6.4801,2.696
81730,0.15622,-2.6783
102638,0.15752,-2.6664
112793,0.16021,-2.642
124037,6.2313,2.6395
100644,0.16111,-2.6339
106253,6.1245,2.6146
98923,5.9508,2.5731
100649,0.16844,-2.5697
120018,5.9172,2.5649
101877,5.8327,2.5442
89637,0.17376,-2.5248
99261,5.7326,2.5192
90443,5.667,2.5026
90065,0.17677,-2.5001
112743,5.6032,2.4863
92476,0.18024,-2.472
94616,5.4941,2.4579
99160,0.18236,-2.4551
100792,0.18448,-2.4385
85540,5.4077,2.435
101324,0.1853,-2.432
103642,5.3938,2.4313
119321,5.369,2.4247
100005,5.3457,2.4184
100676,0.18947,-2.4
100638,0.1952,-2.357
100570,5.1133,2.3543
112759,5.0722,2.3426
100711,0.19721,-2.3422
100828,0.19787,-2.3374
113312,4.9024,2.2935
110794,4.8157,2.2677
115479,4.7441,2.2461
102714,0.21117,-2.2435
90503,0.21319,-2.2298
102718,0.21326,-2.2293
83014,0.2153,-2.2156
113265,4.6375,2.2134
82322,0.21886,-2.1919
106801,4.5332,2.1805
95191,4.4928,2.1676
106725,0.22285,-2.1659
104029,0.22733,-2.1372
90060,0.231,-2.114
98029,4.3116,2.1082
114327,4.3114,2.1082
115149,4.2776,2.0968
113384,4.2745,2.0957
110973,0.24247,-2.0441
84377,4.0431,2.0154
110963,0.24742,-2.0149
102717,0.24912,-2.0051
86758,0.24962,-2.0022
85539,3.9903,1.9965
101150,0.25118,-1.9932
112453,3.9007,1.9637
102716,0.2577,-1.9562
100680,0.25882,-1.95
110961,0.25893,-1.9494
106081,3.8275,1.9364
108226,3.7978,1.9252
110996,0.26343,-1.9245
99604,3.7676,1.9137
93167,0.26988,-1.8896
106574,3.6281,1.8592
107246,3.6156,1.8542
107217,3.6103,1.8521
104030,0.2785,-1.8442
88030,0.29108,-1.7805
105518,0.29178,-1.777
87774,3.3799,1.757
107341,3.3682,1.752
99985,0.29895,-1.742
83279,0.30255,-1.7248
98375,0.30434,-1.7163
91536,3.2753,1.7116
99600,3.2712,1.7098
99659,3.2396,1.6958
97541,3.2346,1.6936
84935,0.30955,-1.6918
106884,0.31523,-1.6655
107701,3.1496,1.6551
103568,0.32519,-1.6207
95103,3.0645,1.6157
109665,3.0627,1.6148
99915,0.32676,-1.6137
92829,0.32927,-1.6026
104826,0.33146,-1.5931
127563,2.998,1.584
102615,0.34045,-1.5545
112223,2.9318,1.5518
108364,2.9051,1.5386
90680,2.8394,1.5056
104165,0.35625,-1.4891
91779,0.35721,-1.4852
108853,2.7686,1.4692
108353,2.7625,1.466
91170,0.36208,-1.4656
86409,0.36491,-1.4544
92853,0.36674,-1.4472
114407,2.7175,1.4423
90683,2.7014,1.4337
94709,0.37619,-1.4105
89396,0.377,-1.4074
101474,0.3778,-1.4043
119323,2.6335,1.397
102521,2.6328,1.3966
98472,0.3804,-1.3944
103790,0.38794,-1.3661
99492,2.5482,1.3495
93627,0.4031,-1.3108
98742,0.40483,-1.3046
108914,2.4596,1.2984
111810,0.41026,-1.2854
100785,2.4255,1.2783
111766,0.41321,-1.2751
111852,2.412,1.2703
83126,2.4116,1.27
99807,2.3729,1.2467
112734,0.42247,-1.2431
100755,0.42493,-1.2347
103788,0.42932,-1.2199
106724,0.42936,-1.2197
111387,2.3185,1.2132
111101,0.43762,-1.1923
100401,0.44304,-1.1745
106736,0.45393,-1.1395
110663,0.45653,-1.1312
95218,2.1683,1.1165
105190,2.1527,1.1061
111801,2.1392,1.0971
123688,2.1167,1.0818
93803,2.1103,1.0775
81115,0.47491,-1.0743
94422,0.47561,-1.0721
89991,2.0951,1.067
96368,2.0942,1.0664
109871,2.0847,1.0598
111754,0.48127,-1.0551
111816,0.48413,-1.0465
100108,0.48429,-1.0461
103106,0.48544,-1.0426
92217,0.48889,-1.0324
105033,0.49299,-1.0204
94394,0.49315,-1.0199
