query	scan_list
Monohydroxy	[109665, 112813, 96379, 123688, 126843, 102512, 102581]
Dihydroxy	[100476, 100631, 102274, 102325, 102883, 89396, 89637, 92809, 92991, 96860, 97032, 102611, 108276, 101193, 101911, 117981, 121665, 99160, 99332, 116312, 115873, 119781, 119847, 120224, 101286, 101474, 99403, 99501, 102273, 102331, 90402, 92216, 93417, 93652, 96421, 113654, 94508, 96782, 100108, 110423, 92537, 92828, 94915, 95037, 94483, 96368, 100315, 100279, 100356, 91041, 98560, 94916, 95026, 86172, 86615, 112734, 114407, 96566, 98371, 105425, 105408, 112400, 124032, 115712]
Trihydroxy	[112829, 113265, 90503, 112793, 80217, 82744, 83076, 85745, 87092, 88933, 91618, 91710, 94348, 94450, 95417, 97244, 97571, 98985, 99288, 100385, 101324, 89263, 94184, 88698, 88842, 91779, 93625, 93748, 95387, 97160, 105984, 98107, 120639, 91758, 91880, 91963, 92829, 94131, 94320, 97003, 85314, 85439, 88700, 88929, 88772, 81928, 82318, 83462, 85040, 86863, 87595, 87970, 90562, 86706, 86751, 109298, 98291, 98375, 100401, 94484, 91791, 91882, 93167, 89193, 90468, 97568, 86111, 86223, 88826, 74029, 78103, 79381, 79565, 81093, 82261, 82322, 83832, 83861, 85306, 87831, 103661, 86937, 87039, 88588, 88850, 89381, 86114, 86172, 86273, 88590, 88971, 87395, 90413, 81399, 83123, 83126, 89991, 94709, 99915, 81262, 88305, 92127, 95036, 87139, 87424, 103568, 105035, 92354, 88786, 95344, 95564, 88306, 88428, 95667, 98847, 99032, 86219, 86409, 88042, 93627, 88030, 86362, 86368, 81115, 81486, 88308, 88402, 94836, 132673, 107960, 108010, 108398, 124236, 106553, 106671, 103169, 104745, 104787, 106725, 107877, 108554, 112832, 113186, 104715, 106646, 107803, 112727, 106884, 107878, 108364, 112772, 112833, 107804, 112531, 107831, 107961, 93837, 106772, 107718, 107833]
